"Timestamp","01. Age","02. Gender","03. Year of study","04. How stress do you feel daily","05. What is your main source of stress ?","06. How many hours do you study per day ?","07. How many hours do you sleep per day ?","08. Do you feel academic pressure from university ?","09. How often do you feel anxious or overwhelmed ?","10. Do you engage in stress-relief activities ?"
"2026/04/25 12:23:29 PM GMT+5:30","22","Female","3rd Year","3","Exams","5+ hours","5 - 7 hours","Yes","Sometimes","No"
"2026/04/25 12:36:26 PM GMT+5:30","23","Male","4th Year","4","Studies","5+ hours","Less than 5 hours","Yes","Rarely","Yes"
"2026/04/25 12:39:57 PM GMT+5:30","21","Male","1st Year","3","Financial issues","1-2 hours","5 - 7 hours","Yes","Often","Yes"
"2026/04/25 1:17:12 PM GMT+5:30","21","Female","2nd Year","2","Exams","1-2 hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 1:18:37 PM GMT+5:30","22","Female","1st Year","5","Exams","5+ hours","5 - 7 hours","Yes","Often","No"
"2026/04/25 1:20:42 PM GMT+5:30","23","Female","2nd Year","4","Exams","3-4 hours","Less than 5 hours","Yes","Sometimes","Yes"
"2026/04/25 1:23:23 PM GMT+5:30","22","Female","1st Year","4","Exams","5+ hours","5 - 7 hours","Yes","Often","No"
"2026/04/25 1:25:06 PM GMT+5:30","22","Female","2nd Year","2","Personal life","3-4 hours","5 - 7 hours","Yes","Sometimes","No"
"2026/04/25 1:25:39 PM GMT+5:30","22","Female","2nd Year","5","Exams","1-2 hours","Less than 5 hours","Yes","Often","No"
"2026/04/25 1:34:50 PM GMT+5:30","23","Male","3rd Year","5","Other","5+ hours","Less than 5 hours","Yes","Rarely","Yes"
"2026/04/25 1:45:25 PM GMT+5:30","22","Female","2nd Year","4","Exams","3-4 hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 2:45:42 PM GMT+5:30","22","Female","1st Year","4","Exams","5+ hours","Less than 5 hours","Yes","Sometimes","Yes"
"2026/04/25 2:57:28 PM GMT+5:30","25","Male","4th Year","4","Exams","5+ hours","Less than 5 hours","Yes","Often","Yes"
"2026/04/25 3:57:49 PM GMT+5:30","24","Male","3rd Year","5","Personal life","3-4 hours","Less than 5 hours","Yes","Often","Yes"
"2026/04/25 4:01:42 PM GMT+5:30","24","Female","3rd Year","3","Studies","3-4 hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 6:15:26 PM GMT+5:30","20","Female","1st Year","2","Other","1-2 hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 9:23:29 PM GMT+5:30","20","Male","1st Year","3","Personal life","3-4 hours","More than 7 hours","No","Sometimes","No"
"2026/04/25 9:28:05 PM GMT+5:30","21","Male","3rd Year","5","Exams","3-4 hours","5 - 7 hours","No","Sometimes","No"
"2026/04/25 9:34:11 PM GMT+5:30","20","Male","2nd Year","1","Exams","3-4 hours","More than 7 hours","Yes","Sometimes","No"
"2026/04/25 9:34:49 PM GMT+5:30","20","Male","2nd Year","2","Exams","1-2 hours","More than 7 hours","Yes","Sometimes","Yes"
"2026/04/25 9:38:07 PM GMT+5:30","20","Male","1st Year","2","Exams","1-2 hours","More than 7 hours","Yes","Rarely","Yes"
"2026/04/25 9:42:02 PM GMT+5:30","22","Female","2nd Year","4","Exams","5+ hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 9:45:36 PM GMT+5:30","23","Male","3rd Year","2","Exams","1-2 hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 9:48:21 PM GMT+5:30","20","Male","2nd Year","1","Exams","1-2 hours","Less than 5 hours","Yes","Rarely","Yes"
"2026/04/25 9:51:08 PM GMT+5:30","21","Female","1st Year","1","Exams","3-4 hours","5 - 7 hours","No","Sometimes","No"
"2026/04/25 9:51:43 PM GMT+5:30","20","Male","2nd Year","3","Studies","5+ hours","5 - 7 hours","No","Sometimes","No"
"2026/04/25 9:54:14 PM GMT+5:30","20","Male","3rd Year","3","Exams","3-4 hours","Less than 5 hours","Yes","Sometimes","Yes"
"2026/04/25 10:00:32 PM GMT+5:30","22","Male","2nd Year","1","Personal life","5+ hours","5 - 7 hours","No","Rarely","No"
"2026/04/25 10:01:01 PM GMT+5:30","22","Male","3rd Year","3","Financial issues","3-4 hours","Less than 5 hours","No","Sometimes","No"
"2026/04/25 10:02:41 PM GMT+5:30","20","Female","3rd Year","1","Other","5+ hours","5 - 7 hours","No","Sometimes","No"
"2026/04/25 10:05:31 PM GMT+5:30","19","Male","1st Year","1","Personal life","3-4 hours","5 - 7 hours","No","Sometimes","No"
"2026/04/25 10:08:11 PM GMT+5:30","23","Male","3rd Year","1","Other","5+ hours","Less than 5 hours","No","Sometimes","No"
"2026/04/25 10:08:16 PM GMT+5:30","23","Male","3rd Year","3","Financial issues","3-4 hours","Less than 5 hours","No","Often","No"
"2026/04/25 10:13:34 PM GMT+5:30","21","Male","1st Year","1","Other","3-4 hours","Less than 5 hours","No","Sometimes","Yes"
"2026/04/25 10:24:49 PM GMT+5:30","20","Male","2nd Year","1","Other","5+ hours","More than 7 hours","Yes","Often","Yes"
"2026/04/25 10:29:45 PM GMT+5:30","21","Female","2nd Year","2","Exams","3-4 hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 10:30:45 PM GMT+5:30","25","Female","4th Year","5","Exams","5+ hours","Less than 5 hours","Yes","Rarely","Yes"
"2026/04/25 10:31:25 PM GMT+5:30","22","Female","3rd Year","3","Studies","3-4 hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 10:32:13 PM GMT+5:30","23","Female","3rd Year","3","Exams","5+ hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 10:34:17 PM GMT+5:30","21","Female","2nd Year","3","Exams","3-4 hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 10:35:18 PM GMT+5:30","22","Female","2nd Year","2","Studies","3-4 hours","More than 7 hours","Yes","Sometimes","Yes"
"2026/04/25 10:35:53 PM GMT+5:30","23","Female","3rd Year","4","Studies","3-4 hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 10:36:32 PM GMT+5:30","21","Female","1st Year","1","Studies","1-2 hours","5 - 7 hours","Yes","Sometimes","No"
"2026/04/25 10:46:40 PM GMT+5:30","22","Male","1st Year","1","Studies","1-2 hours","More than 7 hours","Yes","Rarely","Yes"
"2026/04/25 10:47:41 PM GMT+5:30","22","Male","1st Year","2","Exams","3-4 hours","More than 7 hours","Yes","Rarely","Yes"
"2026/04/25 10:53:53 PM GMT+5:30","22","Male","3rd Year","3","Studies","3-4 hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 10:54:21 PM GMT+5:30","22","Female","3rd Year","4","Studies","5+ hours","5 - 7 hours","Yes","Rarely","Yes"
"2026/04/25 11:14:41 PM GMT+5:30","23","Female","3rd Year","4","Exams","3-4 hours","5 - 7 hours","Yes","Rarely","No"
"2026/04/25 11:16:01 PM GMT+5:30","19","Male","1st Year","1","Exams","1-2 hours","More than 7 hours","Yes","Sometimes","No"
"2026/04/25 11:19:51 PM GMT+5:30","25","Female","4th Year","5","Studies","5+ hours","Less than 5 hours","Yes","Rarely","Yes"
"2026/04/25 11:29:25 PM GMT+5:30","23","Female","3rd Year","3","Studies","3-4 hours","5 - 7 hours","Yes","Sometimes","Yes"
"2026/04/25 11:30:20 PM GMT+5:30","24","Female","4th Year","4","Studies","5+ hours","Less than 5 hours","Yes","Often","Yes"
"2026/04/25 11:32:24 PM GMT+5:30","20","Male","2nd Year","1","Exams","1-2 hours","More than 7 hours","No","Often","No"
"2026/04/25 11:34:51 PM GMT+5:30","22","Female","3rd Year","5","Studies","5+ hours","Less than 5 hours","Yes","Sometimes","Yes"
"2026/04/25 11:40:14 PM GMT+5:30","24","Female","3rd Year","2","Exams","5+ hours","5 - 7 hours","Yes","Sometimes","No"